Viti,Përshkrimi,Planifikimi,Realizimi,Përqindja,tremujori
2019,Participime / Donacione,"200,000.00",16545,8,1
2019,Shitja e Pasurisë,"10,000.00",7548,75,1
2019,Agjensioni i pyjeve,"10,000.00",2813,28,1
2019,Gjobat nga gjykatat,"400,000.00",232741,58,1
2019,Shpronësime,"2,000,000.00",8717,0,1
2019,Mbeturinat,"4,338,000.00",2077096,48,1
2019,Konfiskim i automjeteve,"300,000.00",78793,26,1
2019,Të hyrat tjera,"27,363.00",10131,37,1
2020,Taksa për leje ndërtimi,"6,500,000.00",9226062,142,1
2020,Legalizimi i ndërtimeve pa leje,"10,000.00",190412,1904,1
2020,Leje mjedisore komunale,"500,696.00",612334,122,1
2020,Tatimi në pronën e paluajtshme,"9,139,671.00",6220483,68,1
2020,Licenca në biznes,"50,000.00",89850,180,1
2020,Taksa për shfrytëzimin e sipërfaqes publike,"300,000.00",35499,12,1
2020,Infrastruktura rrugore,"2,540,000.00",2709064,107,1
2020,Taksa nga kadastri dhe gjeodezia,"700,000.00",991241,142,1
2020,Taksa për transakcion në pronë,"650,000.00",786151,121,1
2020,Të hyra nga inspekcioni,"250,000.00",87111,35,1
2020,Taksa për certifikata dhe dokumente zyrtare,"250,000.00",192607,77,1
2020,Taksa për automjete motorrike,"600,000.00",651003,109,1
2020,Taksa për shërbime arsimore,"1,000,000.00",513812,51,1
2020,Bibloteka dhe Teatri Dodona,"40,000.00",10244,26,1
2020,Taksa për shërbime shëndetësore,"400,000.00",280267,70,1
2020,Qiraja në banesa ,"40,000.00",60116,150,1
2020,Renta,0,0,0,1
2020,Hortikultura,"300,000.00",162938,54,1
2020,Participime / Donacione,0,79742,0,1
2020,Shitja e Pasurisë,"30,000.00",752,3,1
2020,Agjensioni i pyjeve,0,0,0,1
2020,Gjobat nga gjykatat,0,0,0,1
2020,Shpronësime,"1,500,000.00",0,0,1
2020,Mbeturinat,"4,338,000.00",1943819,45,1
2020,Konfiskim i automjeteve,"100,000.00",64853,65,1
2020,Të hyrat tjera,"20,000.00",1000,0,1
